,tconst,averageRating,numVotes
122877,tt0183523,5.7,75184
122889,tt0183550,6.4,577
122941,tt0183639,4.5,172
122945,tt0183649,7.1,277525
122954,tt0183659,7.0,28965
123031,tt0183790,6.9,194702
123045,tt0183808,4.9,597
123079,tt0183869,6.5,57605
123151,tt0184009,6.0,36
123392,tt0184457,4.7,187
123519,tt0184719,6.8,297
123563,tt0184791,6.1,21655
123606,tt0184858,5.8,41332
123629,tt0184894,6.6,131906
123637,tt0184907,5.1,13288
123701,tt0185007,5.0,403
123706,tt0185014,7.2,65563
123818,tt0185183,2.5,81820
123936,tt0185431,5.3,109451
123986,tt0185542,6.2,439
124257,tt0186029,5.0,79
124265,tt0186045,5.7,15169
124306,tt0186151,7.4,112415
124327,tt0186183,6.1,3720
124339,tt0186202,5.5,934
124347,tt0186221,7.8,18
124482,tt0186454,3.7,470
124548,tt0186549,5.4,414
124560,tt0186566,6.5,84010
124570,tt0186589,5.7,14902
124646,tt0186719,4.2,210
124686,tt0186785,7.6,32
124765,tt0186894,5.8,21328
124820,tt0186975,5.0,15484
124884,tt0187078,6.5,287331
124990,tt0187251,4.1,1274
125077,tt0187387,5.3,140
125082,tt0187393,7.2,284693
125165,tt0187512,5.0,5751
125195,tt0187559,5.8,880
125285,tt0187696,6.0,13771
125300,tt0187738,6.7,226799
125304,tt0187750,4.8,369
125307,tt0187761,5.1,119
125347,tt0187847,6.6,44
125409,tt0188045,5.4,303
125416,tt0188055,5.4,2304
125447,tt0188128,6.6,1323
125469,tt0188160,6.1,896
125632,tt0188453,6.0,26006
125646,tt0188490,6.6,85
125659,tt0188518,5.8,881
125690,tt0188575,5.5,79
125729,tt0188688,4.5,170
125993,tt0189192,5.7,19793
126142,tt0189456,4.3,3613
126193,tt0189541,4.9,1595
126445,tt0189998,6.9,43156
126471,tt0190052,4.2,127
126522,tt0190138,6.7,124865
126615,tt0190332,7.9,276497
126633,tt0190374,3.6,35369
126640,tt0190398,4.9,230
126662,tt0190449,6.2,88
126693,tt0190524,4.3,10208
126729,tt0190590,7.7,321470
126817,tt0190736,4.2,628
126895,tt0190861,6.6,8064
126899,tt0190865,5.9,63683
126938,tt0190938,5.4,1009
126960,tt0190994,4.6,149
126983,tt0191037,5.6,2328
126997,tt0191074,5.2,3393
127027,tt0191133,5.6,7425
127048,tt0191177,5.2,88
127065,tt0191211,5.5,51
127078,tt0191242,5.1,631
127159,tt0191397,6.6,67576
127296,tt0191636,7.2,5665
127366,tt0191754,6.1,52361
